06902;Pueblonuevo del Guadiana;Pueblonuevo del Guadiana;Q1387053
06109;Quintana de la Serena;Quintana de la Serena;Q1387040
06110;Reina;Reina (Badajoz);Q1752863
06111;Rena;Rena (Badajoz);Q1630808
06112;Retamal de Llerena;Retamal de Llerena;Q539117
06113;Ribera del Fresno;Ribera del Fresno;Q1442520
06114;Risco;Risco (Badajoz);Q1998809
06115;Roca de la Sierra, La;La Roca de la Sierra;Q1372861
06116;Salvaleón;Salvaleón;Q1443665
06117;Salvatierra de los Barros;Salvatierra de los Barros;Q1443754
06119;San Pedro de Mérida;San Pedro de Mérida;Q1443685
06123;San Vicente de Alcántara;San Vicente de Alcántara;Q1442479
06118;Sancti-Spíritus;Sancti-Spíritus (Badajoz);Q1443675
06120;Santa Amalia;Santa Amalia;Q1407143
06121;Santa Marta;Santa Marta (Badajoz);Q1629459
06122;Santos de Maimona, Los;Los Santos de Maimona;Q1372555
06124;Segura de León;Segura de León;Q1354528
06125;Siruela;Siruela;Q1372816
06126;Solana de los Barros;Solana de los Barros;Q1442582
06127;Talarrubias;Talarrubias;Q669707
06128;Talavera la Real;Talavera la Real;Q1387075
06129;Táliga;Táliga;Q1613535
06130;Tamurejo;Tamurejo;Q1629497
06131;Torre de Miguel Sesmero;Torre de Miguel Sesmero;Q1613555
06132;Torremayor;Torremayor;Q1613573
06133;Torremejía;Torremejía;Q1613564
06134;Trasierra;Trasierra (Badajoz);Q952282
06135;Trujillanos;Trujillanos;Q2572293
06136;Usagre;Usagre;Q784442
06137;Valdecaballeros;Valdecaballeros;Q1614671
06901;Valdelacalzada;Valdelacalzada;Q1246417
06138;Valdetorres;Valdetorres;Q1630933
06139;Valencia de las Torres;Valencia de las Torres;Q920525
06140;Valencia del Mombuey;Valencia del Mombuey;Q1658582
06141;Valencia del Ventoso;Valencia del Ventoso;Q1630828
06146;Valle de la Serena;Valle de la Serena;Q1637562
06147;Valle de Matamoros;Valle de Matamoros (Badajoz);Q1647560
06148;Valle de Santa Ana;Valle de Santa Ana;Q1643055
06142;Valverde de Burguillos;Valverde de Burguillos;Q1642759
06143;Valverde de Leganés;Valverde de Leganés;Q1630843
06144;Valverde de Llerena;Valverde de Llerena;Q1642776
06145;Valverde de Mérida;Valverde de Mérida;Q377785
06149;Villafranca de los Barros;Villafranca de los Barros;Q613908
06150;Villagarcía de la Torre;Villagarcía de la Torre;Q1628543
06151;Villagonzalo;Villagonzalo;Q784629
06152;Villalba de los Barros;Villalba de los Barros;Q1628578
06153;Villanueva de la Serena;Villanueva de la Serena;Q695380
06154;Villanueva del Fresno;Villanueva del Fresno;Q1628563
06156;Villar de Rena;Villar de Rena;Q1628552
06155;Villar del Rey;Villar del Rey;Q1615783
06157;Villarta de los Montes;Villarta de los Montes;Q957280
06158;Zafra;Zafra;Q140203
06159;Zahínos;Zahínos;Q1641406
06160;Zalamea de la Serena;Zalamea de la Serena;Q1613344
06162;Zarza, La;La Zarza (Badajoz);Q1605997
06161;Zarza-Capilla;Zarza Capilla;Q1647547
